annonceur,occurrences,chaines_distinctes,plus_grosse_audience,exemple_video,deja_connu
Pixyn,176,1,1390000,https://www.youtube.com/watch?v=GUDaW2-TsZk,non
notre partenaire NordVPN de,121,1,2770000,https://www.youtube.com/watch?v=-byUVOa992g,non
Goster,120,1,1390000,https://www.youtube.com/watch?v=U2-qijjdDCM,non
OMEN by HP,86,1,206000,https://www.youtube.com/watch?v=Vay900kBJuQ,non
Yannis,84,1,128000,https://www.youtube.com/watch?v=PIC1ehSHQiM,non
Klippeurs de,25,1,496000,https://www.youtube.com/watch?v=tM0qSbJ8ol8,non
L'Orphée d'accueillir,17,1,495000,https://www.youtube.com/watch?v=xfSolwUeILQ,non
Martkin,14,1,496000,https://www.youtube.com/watch?v=Kc57v1VB7nI,non
Squarespace,12,1,390000,https://www.youtube.com/watch?v=5BSHTItba-k,non
notre partenaire,11,1,122000,https://www.youtube.com/watch?v=emhUEhl6x9w,non
boohoo,9,1,1020000,https://www.youtube.com/watch?v=KkoxI-LD7jw,non
pour le montage,8,1,1390000,https://www.youtube.com/watch?v=kwom1PyL1Ik,non
toute l'équipe de prod,8,1,1390000,https://www.youtube.com/watch?v=WpabKiBuXFo,non
Blanche,7,1,11200000,https://www.youtube.com/watch?v=H2eaoYkDqGQ,non
Kinmeki,7,1,2770000,https://www.youtube.com/watch?v=Qbb3s0-0pwI,non
la boutique Zest à,7,1,2350000,https://www.youtube.com/watch?v=VKYw0KcOo-M,non
nos amis,7,1,122000,https://www.youtube.com/watch?v=WBa8Ci2k77E,non
l'ECPAD,6,1,2770000,https://www.youtube.com/watch?v=dmE6Nnxy6UQ,non
Martav,6,1,1030000,https://www.youtube.com/watch?v=qMXwFnjXaUE,non
Yannistwd,6,1,128000,https://www.youtube.com/watch?v=Bt4vx9THRTw,non
Ciao Kombucha,5,1,20200000,https://www.youtube.com/watch?v=RtydAmTtpbQ,non
Arthur Khong,5,1,3140000,https://www.youtube.com/watch?v=mxULBjEsrms,non
NARCISSIQUE DE SOUTENIR L’AVENTURE,5,1,1580000,https://www.youtube.com/watch?v=5pKeXp08t-k,non
Missak et Mehdi de,5,1,1280000,https://www.youtube.com/watch?v=Wh7fYpTiESo,non
Maurane et Baptiste,5,1,330000,https://www.youtube.com/watch?v=gtXN9p1c3WY,non
Nico Lobbestaël,5,1,330000,https://www.youtube.com/watch?v=Oejo9QAoq3g,non
Maxime Pontois Célèbre youtuber,5,1,330000,https://www.youtube.com/watch?v=Oejo9QAoq3g,non
la Région Auvergne-Rhône-Alpes,5,1,233000,https://www.youtube.com/watch?v=BPUWTV1MBMk,non
Mikilim,4,1,5850000,https://www.youtube.com/watch?v=eVe1OCWHyZE,non
notre sponsor NordVPN,4,1,2770000,https://www.youtube.com/watch?v=aHFGvob2oMc,non
Air Caraïbes,4,1,734000,https://www.youtube.com/watch?v=V81HosKTi8U,non
Luxury Ocean Vacation,4,1,734000,https://www.youtube.com/watch?v=wPNQnyviTI4,non
DS Exclusive Services,4,1,734000,https://www.youtube.com/watch?v=wPNQnyviTI4,non
hôtels ibis d'accompagner cette,4,1,489000,https://www.youtube.com/watch?v=6s5Cq9P3oJU,non
La Provençale,4,1,264000,https://www.youtube.com/watch?v=jDcOBE3Xw3c,non
Sara,4,1,128000,https://www.youtube.com/watch?v=yMjU_CHfQD0,non
Havana Club,4,1,122000,https://www.youtube.com/watch?v=-J8rfmilSE0,non
Cuba,4,1,122000,https://www.youtube.com/watch?v=-J8rfmilSE0,non
nos amis sûrs de,4,1,122000,https://www.youtube.com/watch?v=-J8rfmilSE0,non
Marie Delvallée,3,1,20200000,https://www.youtube.com/watch?v=49Dy0nvs7Lw,non
Michel Bazinet,3,1,20200000,https://www.youtube.com/watch?v=49Dy0nvs7Lw,non
Oral B,3,1,20200000,https://www.youtube.com/watch?v=zp0Pa1FuY5I,non
Agnès,3,1,11200000,https://www.youtube.com/watch?v=EUFtVAgh9vM,non
