lobby_institutionnel,vitrine,alias_observe,contenu_url,date_publication,nombre_de_vues,statut_collaboration,nom_influenceur,plateforme,alias_influenceur,nombre_abonnes,type_de_createur,canal_de_detection,degre_de_certitude,verifie_par_humain,titre_du_contenu
CNIEL,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=M5iLgoVSykM,2020-01-15,,ancien,LORIS GIULIANO,YouTube,,,,description du createur,lien commercial soupconne,non,LORIS - DOUBLE JOUR DE L'AN - AUCKLAND/RAROTONGA
CNIEL,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=s1XA1BHUX_s,2019-11-22,,ancien,LORIS GIULIANO,YouTube,,,,description du createur,lien commercial soupconne,non,LORIS - LES OFF - TOUR DE FRANCE
CNIEL,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=SCm_UNf8xAs,2019-11-14,,ancien,LORIS GIULIANO,YouTube,,,,description du createur,lien commercial soupconne,non,LORIS - MERCI - NANTES ANGERS PARIS
CNIEL,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=ViL5tLYF_Xo,2019-11-04,,ancien,LORIS GIULIANO,YouTube,,,,description du createur,lien commercial soupconne,non,LORIS - LA FERME - MAËL CARHAIX
CNIEL,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=s_Gbs-Scp-A,2019-10-31,,ancien,LORIS GIULIANO,YouTube,,,,description du createur,lien commercial soupconne,non,LORIS - LA PMA - RENNES
CNIEL,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=cejlgIeVzQg,2019-10-28,,ancien,LORIS GIULIANO,YouTube,,,,description du createur,lien commercial soupconne,non,LORIS - INÉGALITÉS HOMMES/FEMMES - ROUEN
CNIEL,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=92J7_p8nvDw,2019-10-23,,ancien,LORIS GIULIANO,YouTube,,,,description du createur,lien commercial soupconne,non,LORIS - LES PRODUITS LAITIERS - CAEN
CNIEL,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=ABbTFvW0vJo,2019-10-16,,ancien,LORIS GIULIANO,YouTube,,,,description du createur,lien commercial soupconne,non,LORIS - LA FRANCE - BRUXELLES
CNIEL,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=7budxtYR8eo,2019-10-10,,ancien,LORIS GIULIANO,YouTube,,,,description du createur,lien commercial soupconne,non,LORIS - LES SITES DE RENCONTRES - LILLE
CNIEL,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=YxeACzXxQ7s,2019-10-04,,ancien,LORIS GIULIANO,YouTube,,,,description du createur,lien commercial soupconne,non,LORIS - L'ARRESTATION - DIJON
CNIEL,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=heJqGU0UR44,2019-09-30,,ancien,LORIS GIULIANO,YouTube,,,,description du createur,lien commercial soupconne,non,LORIS - JACQUES CHIRAC - STRASBOURG
CNIEL,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=o5zvY-1O6bc,2019-09-27,,ancien,LORIS GIULIANO,YouTube,,,,description du createur,lien commercial soupconne,non,LORIS - L'ALCOOL - CLERMONT FERRAND
CNIEL,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=pFTXagiX2Rw,2019-09-24,,ancien,LORIS GIULIANO,YouTube,,,,description du createur,lien commercial soupconne,non,LORIS - LA PROSTITUTION - LYON
CNIEL,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=scKwDXeNpCw,2019-09-12,,ancien,LORIS GIULIANO,YouTube,,,,description du createur,lien commercial soupconne,non,LORIS - LA CORSE - AJACCIO
CNIEL,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=7Yrcydd0OAw,2019-09-10,,ancien,LORIS GIULIANO,YouTube,,,,description du createur,lien commercial soupconne,non,LORIS - LES QUARTIERS NORD - MARSEILLE
CNIEL,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=u-Cu9TEpsj8,2019-09-06,,ancien,LORIS GIULIANO,YouTube,,,,description du createur,lien commercial soupconne,non,LORIS - L'ÉCOLOGIE - MONTPELLIER
CNIEL,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=tVkS7WYI6Yo,2019-09-02,,ancien,LORIS GIULIANO,YouTube,,,,description du createur,lien commercial soupconne,non,LORIS - HOMOPHOBIE DANS LES STADES - MARSEILLE
CNIEL,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=YaYSolZhTCA,2019-08-29,,ancien,LORIS GIULIANO,YouTube,,,,description du createur,lien commercial soupconne,non,LORIS - L'ÉCHANGISME - CAP D'AGDE
CNIEL,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=FHkBVl5lKVE,2019-08-26,,ancien,LORIS GIULIANO,YouTube,,,,description du createur,lien commercial soupconne,non,LORIS - LES RÉSEAUX SOCIAUX - TOULOUSE
CNIEL,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=lo5Pii_ZLOk,2019-08-22,,ancien,LORIS GIULIANO,YouTube,,,,description du createur,lien commercial soupconne,non,LORIS - LES FANTASMES - BORDEAUX
CNIEL,CNIEL,@lesproduitslaitiers | Veloute,https://www.youtube.com/watch?v=czykjPMc2B0,2024-04-20,,ancien,Juste Zoé,YouTube,,,,description du createur,lien commercial soupconne,non,JE VOUS PRÉSENTE MON NOUVEAU PAPI ( il est épique )
CNIEL,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=HOx2mZcqVjs,2023-09-14,,ancien,RebeuDeter,YouTube,,,,description du createur,lien commercial soupconne,non,On s'envoie sur une île avec Amine 🏝️
CNIEL,CNIEL,@lesproduitslaitiers | CHAUD !,https://www.youtube.com/watch?v=zZ11xl-SnXA,2022-02-26,,ancien,RebeuDeter,YouTube,,,,description du createur,lien commercial soupconne,non,Ma première fois avec Amine au ski
CNIEL,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=nv5_ZPF0WVA,2021-12-18,,ancien,RebeuDeter,YouTube,,,,description du createur,lien commercial soupconne,non,On a visité le fin fond de la France avec Amine
ANVOL,ANVOL,@lavolaillefrancaise | Le Mois de la Volaille Francaise | Volaille Francaise,https://www.youtube.com/watch?v=2Xigk6PNknE,2025-03-06,,recent,FlorianOnAir,YouTube,@FlorianOnAir,734K,createur de contenu,description du createur,lien commercial soupconne,oui,"Mars , c'est le mois de la Volaille Française !"
CIFOG,CIFOG,Le Foie Gras | President,https://www.youtube.com/watch?v=OfHUijjGqo8,2021-12-22,,ancien,FlorianOnAir,YouTube,@FlorianOnAir,734K,createur de contenu,description du createur,lien commercial soupconne,oui,Le + GROS REPAS de 2021 de la BRIGADE ? MENU de LUXE! - VLOG 1244
INTERBEV,INTERBEV,@la_viande_fr | Made in Viande,https://www.youtube.com/watch?v=aV_m2lmjWjo,2021-05-28,,ancien,FlorianOnAir,YouTube,@FlorianOnAir,734K,createur de contenu,description du createur,lien commercial soupconne,oui,Je fais des PÂTES BOLOGNAISE pour les élèves d'un lycée ! Vont-ils aimer?
INTERBEV,INTERBEV,@la_viande_fr | Made in Viande,https://www.youtube.com/watch?v=-cXraEfY9-I,2021-05-27,,ancien,FlorianOnAir,YouTube,@FlorianOnAir,734K,createur de contenu,description du createur,lien commercial soupconne,oui,On m'embauche dans une BOUCHERIE... et je KIFFE !
INTERBEV,INTERBEV,@la_viande_fr | Made in Viande,https://www.youtube.com/watch?v=BkFXFu1Bar8,2021-05-26,,ancien,FlorianOnAir,YouTube,@FlorianOnAir,734K,createur de contenu,description du createur,lien commercial soupconne,oui,Il a créé 1000 emplois dans sa région - Je découvre un atelier de découpe!
INTERBEV,INTERBEV,@la_viande_fr | Made in Viande,https://www.youtube.com/watch?v=iUF2Duowqow,2021-05-25,,ancien,FlorianOnAir,YouTube,@FlorianOnAir,734K,createur de contenu,description du createur,lien commercial soupconne,oui,J'achète des VACHES avec un COMMERÇANT en BESTIAUX!
