pseudo_commun,contenus_commerciaux_tiktok,labels_tiktok,channel_id,titre_youtube,pseudo_youtube,abonnes_youtube,videos,pays_declare,url,rattachement,releve_le
dayonu_00,5,Paid Partnership,UCGBD00uU1ri4qWeruyZnYdg,dayonu_00,@dayonu_00,719,26,FR,https://www.youtube.com/channel/UCGBD00uU1ri4qWeruyZnYdg,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
terriblementm,10,Paid Partnership,UC28PsPmyMijkoISKBQENoPg,Y🌀 la teaⓂ️,@terriblementm,710,46,,https://www.youtube.com/channel/UC28PsPmyMijkoISKBQENoPg,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
pablobrimeux,9,Paid Partnership,UC35gcnUcLNRmEqmkHI5zRww,Pablo Brimeux,@pablobrimeux,697,16,,https://www.youtube.com/channel/UC35gcnUcLNRmEqmkHI5zRww,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
laz.canada,4,Paid Partnership,UCZ-l8TF6zgCZoErRXT7susw, laz.canada,@laz.canada,697,35,CA,https://www.youtube.com/channel/UCZ-l8TF6zgCZoErRXT7susw,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
clolourenco,1,Paid Partnership,UCx35Tm9BMKVqfhHM8GAtWLw,Cloé Lourenço,@clolourenco,696,159,,https://www.youtube.com/channel/UCx35Tm9BMKVqfhHM8GAtWLw,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
legeantetlapetite,1,Paid Partnership,UCE9fYX_OeNpeimDmelhYRSA,Max & Mel,@legeantetlapetite,692,21,,https://www.youtube.com/channel/UCE9fYX_OeNpeimDmelhYRSA,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
twinsport.studio,1,Paid Partnership,UCoR3J94oZwake-j4AVWnppQ,Axelle & Astrid,@twinsport.studio,687,37,FR,https://www.youtube.com/channel/UCoR3J94oZwake-j4AVWnppQ,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
maaevka,1,Paid Partnership,UCLWY1CYN4rQcBVAwvIWKVwg,Maaevka,@maaevka,679,170,FR,https://www.youtube.com/channel/UCLWY1CYN4rQcBVAwvIWKVwg,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
leahinatea,3,Paid Partnership,UCk0V-AiurxF46kDuVFZ_nKg,leahinatea,@leahinatea,675,32,,https://www.youtube.com/channel/UCk0V-AiurxF46kDuVFZ_nKg,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
yanissitoo,1,Paid Partnership,UCMrklfL1xwGxMUkcVAgIZGg,Yanissito,@yanissitoo,668,3,,https://www.youtube.com/channel/UCMrklfL1xwGxMUkcVAgIZGg,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
concourssesame,1,Promotional Content,UCP3WORfEfVrch39pBpfuyoQ,Concours SESAME,@concourssesame,663,60,FR,https://www.youtube.com/channel/UCP3WORfEfVrch39pBpfuyoQ,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
romane.edelin,1,Paid Partnership,UCFXblP6W7p6Xl6oojpNqBZw,Romane,@romane.edelin,663,1,FR,https://www.youtube.com/channel/UCFXblP6W7p6Xl6oojpNqBZw,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
yunainapril,1,Paid Partnership,UCJUOPSFmY9sVeK-Xu7SbyRQ,yuna,@yunainapril,660,3,FR,https://www.youtube.com/channel/UCJUOPSFmY9sVeK-Xu7SbyRQ,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
anitababymama,1,Paid Partnership,UCC_wRrN05cri1-9kY55ZtKQ,Anitababymama,@anitababymama,656,0,,https://www.youtube.com/channel/UCC_wRrN05cri1-9kY55ZtKQ,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
jojolegeekyt,2,Paid Partnership,UC8g1aY_K5lp0K5VHfp2RRAw,JojoLeGeek,@jojolegeekyt,655,104,,https://www.youtube.com/channel/UC8g1aY_K5lp0K5VHfp2RRAw,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
dorisblancpin,1,Paid Partnership,UCFI0GHKCVEVjjncV3SK7UMA,Dorisblancpin ,@dorisblancpin,645,12,,https://www.youtube.com/channel/UCFI0GHKCVEVjjncV3SK7UMA,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
tiktakonlineshop,2,Paid Partnership,UCpbFEQkK7j8pWSVacTPHc4A,tiktakonlineshop,@tiktakonlineshop,643,35,,https://www.youtube.com/channel/UCpbFEQkK7j8pWSVacTPHc4A,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
temachlife,1,Promotional Content,UCXYBivVTv14Ud70reIzAFCw,Temachlife,@temachlife,626,26,GT,https://www.youtube.com/channel/UCXYBivVTv14Ud70reIzAFCw,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
hugo.hilaire,2,Paid Partnership,UCOCZ3IoBaXVSn7LD-rj6G2w,Hugo Hilaire,@hugo.hilaire,624,1,FR,https://www.youtube.com/channel/UCOCZ3IoBaXVSn7LD-rj6G2w,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
timledanseur,1,Paid Partnership,UCzhmFSRNgvDiLImltjTCJ8Q,Timledanseur,@timledanseur,623,97,FR,https://www.youtube.com/channel/UCzhmFSRNgvDiLImltjTCJ8Q,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
missudette,5,Paid Partnership,UCyBdKddIC-9J7Yt7ZL1xJbg,Missudette,@missudette,620,15,FR,https://www.youtube.com/channel/UCyBdKddIC-9J7Yt7ZL1xJbg,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
ange_dawson,2,Paid Partnership,UC7Hn91TA6IcSRECyXqyKr4A,Angelina ,@ange_dawson,616,12,,https://www.youtube.com/channel/UC7Hn91TA6IcSRECyXqyKr4A,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
laykizztv,1,Paid Partnership,UCb0XioxKneHaOuBdJwy3rFQ,Laykizz,@laykizztv,616,16,,https://www.youtube.com/channel/UCb0XioxKneHaOuBdJwy3rFQ,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
kyoshitech,2,Paid Partnership,UCBVJCSCSD00Fep3trs0d70A,KyoshiTech,@kyoshitech,607,96,,https://www.youtube.com/channel/UCBVJCSCSD00Fep3trs0d70A,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
kanonouroudine,1,Paid Partnership,UCTPw3r197cecUgGS5Tp8teg,Kano Nouroudine,@kanonouroudine,595,50,,https://www.youtube.com/channel/UCTPw3r197cecUgGS5Tp8teg,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
hanaa_elah,1,Paid Partnership,UCkbNGl3R2NxT6T5mrHO3W9Q,Hanaa Elah,@hanaa_elah,594,6,,https://www.youtube.com/channel/UCkbNGl3R2NxT6T5mrHO3W9Q,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
paulbinam,1,Paid Partnership,UCiyP1GrwGMOGZ4KxIV2qGUg,Paul Binam,@paulbinam,591,9,,https://www.youtube.com/channel/UCiyP1GrwGMOGZ4KxIV2qGUg,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
icharlyjaguar,1,Paid Partnership,UCiF4vTWbI5nCMZztNsDSvtQ,Charly Jaguar team Nasdas ,@icharlyjaguar,585,60,FR,https://www.youtube.com/channel/UCiF4vTWbI5nCMZztNsDSvtQ,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
vayarys,1,Paid Partnership,UCJ3mZ0oMPCW6bsrkOkLSemg,Vay 💕,@vayarys,584,82,,https://www.youtube.com/channel/UCJ3mZ0oMPCW6bsrkOkLSemg,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
pecandou,1,Promotional Content,UCurwT1eu4xxX7-ZAXxeTI1Q,Pecandou,@pecandou,579,0,FR,https://www.youtube.com/channel/UCurwT1eu4xxX7-ZAXxeTI1Q,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
anasboukami,2,Paid Partnership,UCDJ8cBOOUi9MpCnsx4WrDAA,Anas Boukami,@anasboukami,576,24,FR,https://www.youtube.com/channel/UCDJ8cBOOUi9MpCnsx4WrDAA,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
ismab4c,17,Paid Partnership,UCB7lnCg90if40JKVNDrOTMw,ismab4c,@ismab4c,574,13,,https://www.youtube.com/channel/UCB7lnCg90if40JKVNDrOTMw,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
jedees500k,18,Paid Partnership,UC9kDBHURHBxNIJV83CVmQQA,Jedees500k,@jedees500k,573,172,,https://www.youtube.com/channel/UC9kDBHURHBxNIJV83CVmQQA,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
hayerelola,4,Paid Partnership,UCcMI-EEiR0eocAnaaAIJMzQ,Hayere Lola,@hayerelola,551,7,,https://www.youtube.com/channel/UCcMI-EEiR0eocAnaaAIJMzQ,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
essiralcool,3,Paid Partnership,UCs8ONI-hafninhcXok9odkQ,Essiralcool,@essiralcool,542,56,,https://www.youtube.com/channel/UCs8ONI-hafninhcXok9odkQ,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
lt31__,1,Paid Partnership,UC4C4VxsbCJXfNlMalAKJ60A,LT,@lt31__,539,454,,https://www.youtube.com/channel/UC4C4VxsbCJXfNlMalAKJ60A,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
muapompot,2,Paid Partnership,UCEWg-bSAlofRngXeQ-JfGIQ,Pom 🌷,@muapompot,538,21,,https://www.youtube.com/channel/UCEWg-bSAlofRngXeQ-JfGIQ,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
tristanmrs,1,Paid Partnership,UCScTGfsaHwOPJc1t6nKt30w,TristanMrs,@tristanmrs,537,30,FR,https://www.youtube.com/channel/UCScTGfsaHwOPJc1t6nKt30w,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
suzana_siqueira09,1,Paid Partnership,UCW_AqPFdlFQhkdwe1LXzA7Q,suzana_siqueira09,@suzana_siqueira09,536,506,,https://www.youtube.com/channel/UCW_AqPFdlFQhkdwe1LXzA7Q,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
margot_strc,3,Paid Partnership,UCQ9lTJuXxQJs9hDROzxfBSg,Margot Sustrac,@margot_strc,535,251,US,https://www.youtube.com/channel/UCQ9lTJuXxQJs9hDROzxfBSg,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
lachainedudiet,1,Paid Partnership,UC7gZyAc5FscLG488pYPzG9A,LaChaîneDuDiet,@lachainedudiet,530,80,FR,https://www.youtube.com/channel/UC7gZyAc5FscLG488pYPzG9A,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
chaa_pr,2,Paid Partnership,UC24QBzOUnb7ET3UksBGt8FA,Charlotte parle solo ,@chaa_pr,528,45,,https://www.youtube.com/channel/UC24QBzOUnb7ET3UksBGt8FA,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
zoupie_tk,2,Paid Partnership,UCscCXRwKAMZaJdFN59f1JLQ,zoupie_tk,@zoupie_tk,527,6,,https://www.youtube.com/channel/UCscCXRwKAMZaJdFN59f1JLQ,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
tommypierremakeup,15,Paid Partnership,UCaUYsOCKSzvHxLVT_8XEW8A,Tommy,@tommypierremakeup,524,83,,https://www.youtube.com/channel/UCaUYsOCKSzvHxLVT_8XEW8A,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
nicolux84,3,Paid Partnership,UC4WPdyt4ETqCPUcDp-B6Hmw,Nicolux84,@nicolux84,523,1,FR,https://www.youtube.com/channel/UC4WPdyt4ETqCPUcDp-B6Hmw,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
clara.gohope,1,Paid Partnership,UChjE4UsS3NnN4NluDiRdYLw,Clara GoHope,@clara.gohope,523,158,FR,https://www.youtube.com/channel/UChjE4UsS3NnN4NluDiRdYLw,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
leanvndtl,8,Paid Partnership,UC6Ah1-mZheXABmzJ9C5cZNA,Leanvndtl,@leanvndtl,507,26,US,https://www.youtube.com/channel/UC6Ah1-mZheXABmzJ9C5cZNA,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
axel_ricarrere,1,Paid Partnership,UCzGq3SNxwrO0usf95DrY6AA,Axel Ricarrere,@axel_ricarrere,502,8,,https://www.youtube.com/channel/UCzGq3SNxwrO0usf95DrY6AA,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
batattak,1,Paid Partnership,UCQPIFJhwQ5tjIAkL8MPu5Fg,batattak,@batattak,497,40,,https://www.youtube.com/channel/UCQPIFJhwQ5tjIAkL8MPu5Fg,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
oh_my_curlss,1,Paid Partnership,UC5nEZMCpfEFPl9UpcGZqG0Q,Ariana,@oh_my_curlss,494,18,,https://www.youtube.com/channel/UC5nEZMCpfEFPl9UpcGZqG0Q,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
theworldofnia,2,Paid Partnership,UCvokLamaSek6E9d7bF5ehtA,nia,@theworldofnia,490,162,,https://www.youtube.com/channel/UCvokLamaSek6E9d7bF5ehtA,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
stevelejardinier,1,Paid Partnership,UC6_b-nGjlCNLqv-T8hDYnow,Steve Le Jardinier,@stevelejardinier,484,45,,https://www.youtube.com/channel/UC6_b-nGjlCNLqv-T8hDYnow,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
deirisu,1,Paid Partnership,UC65SkL6eXUbacjSq20hDlWw,Deirisu,@deirisu,468,46,FR,https://www.youtube.com/channel/UC65SkL6eXUbacjSq20hDlWw,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
leannamadeit,3,Paid Partnership,UC4HJBh6dINr1JzTv_EM6pjQ,Léanna I @leannamadeit,@leannamadeit,467,11,,https://www.youtube.com/channel/UC4HJBh6dINr1JzTv_EM6pjQ,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
zarakitherottie,1,Paid Partnership,UCT9hBgI5qJLogmwcFPkxlLA,ZARAKI 🐶 le Rottweiler,@zarakitherottie,466,74,,https://www.youtube.com/channel/UCT9hBgI5qJLogmwcFPkxlLA,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
iamtheolemos,2,Paid Partnership,UCo6yobybK7b7HQOiGMfiNRg,Théo Lémos,@iamtheolemos,464,176,FR,https://www.youtube.com/channel/UCo6yobybK7b7HQOiGMfiNRg,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
clemenceyvars,3,Paid Partnership,UCN-40wn0s2JF8gVp_Kn8xJA,Clemence Yvars,@clemenceyvars,463,14,,https://www.youtube.com/channel/UCN-40wn0s2JF8gVp_Kn8xJA,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
nunesitude,4,Paid Partnership,UCNmFqhhppDrTjPznapgH5FQ,Nunes itude,@nunesitude,456,40,,https://www.youtube.com/channel/UCNmFqhhppDrTjPznapgH5FQ,"HYPOTHESE — meme pseudo, personne non verifiee",2026-08-28
