channel_id,chaine,abonnes,video_id,titre,publiee,url,entites_filiere,alias_reconnus,indices,description,entites_retenues,force
UC1iLfWw_KN-UrEDLSdd3L_A,Studio Danielle,1740000,BGMMg41mqKY,LE TOUR DE LA GRATTE À MARSEILLE,2023-02-15,https://www.youtube.com/watch?v=BGMMg41mqKY,CNIEL,@lesproduitslaitiers,mention_legale | remerciement,"1 week-end, 0€! ⏎ C'est le tout premier épisode du Tour de la Gratte et ça se passe à Marseille ⏎  ⏎ Tente ta chance pour gagner un vélo électrique d'une valeur de 2000€ en remplissant le formulaire suivant : *Tirage au sort pour le vélo électrique effectué* ⏎  ⏎ Remerciements :  ⏎ Les conducteurs qui nous ont pris en stop ⏎ Le frérot qui a offert une huître à Danielle ⏎ Kofs pour la Chicha (nouvel album ""Matrixé"" dans les bacs, eh mercé) ⏎ Driss et sa fromagerie La Meulerie (9 Grand Rue, 13002 Marseille) ⏎ Le restaurant L'esquinade pour le diner (38 Place Thiars, 13001 Marseille), Alice la soeurette pour la première nuit ⏎ L'Orange Vélodrome et JB pour les places du match et la nuit d'hôtel ⏎ Kevin le CRS, garde du corps officiel et futur mari de Danielle ⏎ Jean notre pilote préféré (www.sky-explorer.fr pour apprendre à piloter aussi bien que Danielle) ⏎ Le Singe Vert pour le petit-déj'",CNIEL,ALIAS D'INTERPROFESSION
UC1iLfWw_KN-UrEDLSdd3L_A,Studio Danielle,1740000,mLZEJLHeJYI,"Danielle piégée pendant 6 mois (feat Joyca, Jimmy Labeeu, GMK, Momo Henni)",2023-01-02,https://www.youtube.com/watch?v=mLZEJLHeJYI,CNIEL,@lesproduitslaitiers,mention_legale | remerciement,"Une vidéo, 4 caméras cachées ! Joyca, GMK, Jimmy Labeeu et Mohammed Henni ont chacun piégé Danielle au cours des derniers mois. ⏎  ⏎ Merci à toutes leurs équipes pour la confiance accordée sur ce projet. ⏎ Merci à Joyca, GMK, Jimmy, Mohammed pour leur participation. ⏎ Merci à @BrisseuDZN pour la miniature. ⏎ Merci à Cyriac Labergere le bg pour l'aide à la réalisation de cette vidéo. ⏎  ⏎ Cette vidéo est en partenariat avec Les Produits Laitiers et leur campagne En Mode Actif cofinancée par l'UE, qui vise à lutter contre la sédentarité. ⏎ Collaboration commerciale ⏎  ⏎ Avec l'Europe, passez en mode actif #Enjoyitsfromeurope 🇪🇺",CNIEL,ALIAS D'INTERPROFESSION
UC1iLfWw_KN-UrEDLSdd3L_A,Studio Danielle,1740000,Z62qEUXOuh4,ELLE A FINI LA JOURNÉE EN TITUBANT,2020-03-06,https://www.youtube.com/watch?v=Z62qEUXOuh4,CNIEL,@lesproduitslaitiers,remerciement,"Danielle a fait un p'tit tour au salon de l'agriculture. Elle a gratté du fromage, du lait, de la chantilly, du saucisson.... Et elle a bu de tout, sauf de l'eau. SANS DÉPENSER 1€ LA RADINE ! ⏎ Merci aux Produits Laitiers pour l'invitation au salon et pour la sponsorisation de cette vidéo. ⏎ Merci aux exposants et aux visiteurs pour leur bienveillance ⏎ Et merci à vous qui regardez cette vidéo :D",CNIEL,ALIAS D'INTERPROFESSION
UC1iLfWw_KN-UrEDLSdd3L_A,Studio Danielle,1740000,XSxogxQcAik,DANIELLE VS 60 VACHES,2019-10-09,https://www.youtube.com/watch?v=XSxogxQcAik,CNIEL,@lesproduitslaitiers,remerciement,Danielle à la ferme! Elle a troqué ses ballerines pour des bottes le temps d'une journée durant laquelle elle a du s'occuper de 60 vaches! ⏎ Merci à AggriSkippy pour son accueil dans sa magnifique ferme!! ⏎ Jetez un oeil à sa chaine : https://www.youtube.com/channel/UCJ8qzw5pxDBtZlul1bWMnlw ⏎ Merci aux Produits Laitiers d'avoir sponsorisé cette vidéo :D,CNIEL,ALIAS D'INTERPROFESSION
UCL9aTJb0ur4sovxcppAopEw,Inoxtag,9470000,ig-_3_-9wu4,"Qui Perdra son Job ?! (ft. Byilhan, Nico)",2025-04-05,https://www.youtube.com/watch?v=ig-_3_-9wu4,Gervais (Danone) | Intercereales | Marie (LDC),@lescereales | Gervais | Marie,code_promo | remerciement,"Yo l'équipe,  ⏎ retour des vidéos aujourd'hui avec Qui perdra son Job 2 en compagnie de Byilhan et Nico. Le concept est simple, des véhicules vont vouloir passer la frontière les uns après les autres. le but : contrôler les papiers ainsi que le véhicule pour voir si tout est en règle.  ⏎ N'hésitez pas à me donner vos retours si vous voulez un épisode 3  ⏎  ⏎ Pour tous les nouveaux clients Ultra Premium Direct, bénéficiez de 25% de réduction, puis de 20% au bout de 48h avec le code ""INOX"" jusqu'au 19/05/25 (code valable en France et Belgique) grâce à ce lien : ⏎ https://www.ultrapremiumdirect.com/?utm_source=Youtube&utm_medium=partenariat&utm_campaign=inoxtag-youtube-032025 ⏎  ⏎ Ultra Premium Direct est une marque française d’alimentation premium pour chiens et chats. Leurs croquettes et pâtées sont composées d’un maximum d’ingrédients d’origine naturelle, sans céréales ou à faible teneur",Gervais (Danone) | Marie (LDC),marque + indice commercial
UCDPK_MTu3uTUFJXRVcTJcEw,Mcfly et Carlito,7660000,LvPzscrOVdc,MÉLI-MÉLO 4 (tout simplement),2025-07-27,https://www.youtube.com/watch?v=LvPzscrOVdc,Gervais (Danone) | Marie (LDC) | President (Lactalis),Gervais | Marie | President,mention_legale | remerciement,"Téléchargez REVOLUT gratuitement avec ici 👉 https://get.revolut.com/z4lF/mcflycarlito1. ⏎ Obtenez 20 € et participer au tirage au sort pour gagner 5 000 €- Voir conditions générales -Collaboration commerciale. ⏎  ⏎ 5 ans après l’épisode 3, il est enfin là. On va peut-être ENFIN savoir ce qu’il y a dans cette crème de marrons.  ⏎ En tout cas mon coeur s’emballe. ⏎  ⏎ ! ATTENTION ! spoiler ci-dessous :  ⏎  ⏎ Téléchargez le jeu “ Méli-Mélo : L’odyssée “ ici : https://melimelo-odyssee.com/the-game ⏎  ⏎ Go suivre l’insta des pattes de Carl :https://www.instagram.com/lespattesdecarl ⏎  ⏎ Go sur le site de visionnaire : https://vision-naire.com/ vous savez quoi faire  ⏎  ⏎ Réalisateur - Florent Sabatier ⏎ OPV - Elyon, Mathieu Lam & Max Gozy ⏎ Assistante OPV - Lola Geslin ⏎ Chef OPS - Martin Bonami ⏎ Assistant son - Mari Jaworski ⏎ Maquillage - Karmen Sefer et Victoire Lienart ⏎ Régisseur adjoin",Gervais (Danone) | Marie (LDC) | President (Lactalis),marque + indice commercial
UCOdKaYgvLlPuinUJ1z5Gm2g,MichouOff,5550000,Ip3pBfl2ipM,J’AI ORGANISÉ UNE FÊTE GÉANTE POUR VOIR UN MATCH de COUPE DU MONDE ! (c’était incroyable mdrr),2026-06-30,https://www.youtube.com/watch?v=Ip3pBfl2ipM,Le Gaulois (LDC) | Marie (LDC),Le Gaulois | Marie,remerciement,"Lay’s nous a laissé carte blanche pour transformer un match de la Coupe du Monde de la FIFA 2026™ en événement géant. ⏎ Résultat : une watch party complètement folle, une ambiance incroyable et un DJ set final qui a mis tout le monde d’accord. ⏎ Un grand merci à eux pour ce projet !  ⏎  ⏎ #NoLaysNoGame ⏎  ⏎ Toutes les infos ici : https://www.lays.fr/  ⏎  ⏎ Crédits : ⏎  ⏎ *Team Michou Corp :* ⏎ Agent : Mehdi Boum ⏎ Directrice commerciale : Stéphanie Jimenez Rosa ⏎ Chef de projet : Ugo Picard  ⏎ Auteur : Violette Jan  ⏎ Communication : Hedi Nedjari / Maks / Mathieu Delafontaine ⏎  ⏎ *POST-PRODUCTION :* ODYSSEY ⏎ Directeur de post-production : Sofiane Chidekh ⏎ Monteur : Jérôme Salou - JEJ ⏎ Assistante Monteuse / Motion Design : Elsa Faber ⏎ Sound Design / Mixage : NathanLSFX ⏎ Miniamaker : Meganini ⏎  ⏎ *Team Lay’s France :* ⏎ Marketing Director : Aygline Cabana ⏎ Head of Media France : Ma",Le Gaulois (LDC) | Marie (LDC),marque + indice commercial
UCOdKaYgvLlPuinUJ1z5Gm2g,MichouOff,5550000,1Bl0pV8h2uE,QUI FERA LE MEILLEUR APERO ? (avec Timoute),2025-08-03,https://www.youtube.com/watch?v=1Bl0pV8h2uE,President (Lactalis),President,remerciement,"Merci à Lay’s Paysanne de nous avoir permis de réaliser ce projet.  ⏎ Tente de gagner un lot surprise avec le nouveau jeu SANS LAY’S PAS D’ÉTÉ : https://www.joy-pepsico.eu/fr-fr/promotions/lays/pas-de-lays-pas-d-ete ⏎   ⏎ Pour votre santé, évitez de manger trop gras, trop sucré, trop salé. www.mangerbouger.fr ⏎ Salut ! Aujourd'hui nouvelle vidéo, j'espère que vous allez passer un bon moment avec moi sur cette vidéo ! ⏎ Abonne-toi ! ⏎  ⏎ 💜 Follow moi sur Twitch pour ne pas louper les lives : https://michou.to/twitch   ⏎ 👨‍💻 Si tu veux voir les rediffs complètes de mes lives : https://michou.to/reddif ⏎  ⏎ 💙 Mon Twitter : https://michou.to/twitter ⏎ 📸 Mon Insta : https://michou.to/instagram ⏎ 👾 Mon Discord : https://michou.to/discord ⏎  ⏎ 🐦 Twitter @MichouOff_ : https://michou.to/off/twitter ⏎ 🌠 Instagram @MichouOff : https://michou.to/off/instagram ⏎ 🎬 TikTok @MichouOff : https://michou.t",President (Lactalis),marque + indice commercial
UCP46_MXP_WG_auH88FnfS1A,Nota Bene,2770000,Pxzv6sTD52k,Les présidents des USA et le Groenland #Shorts,2026-01-30,https://www.youtube.com/watch?v=Pxzv6sTD52k,President (Lactalis),President,remerciement,"Vous n'avez sûrement pas loupé à quel point Trump à l'air de vouloir le Groenland, il est un poil insistant là dessus, mais ce que vous savez peut-être pas, c'est que l'amour du dirigeant des USA pour le Groenland, et bien c'est une longue histoire ! ⏎  ⏎ Merci à Yohann Aucante, directeur d'études de l'@EHESSvideos , directeur du centre d’études CESPRA (EHESS-CNRS) et spécialiste des démocraties nordiques, pour sa relecture.",President (Lactalis),marque + indice commercial
UCP46_MXP_WG_auH88FnfS1A,Nota Bene,2770000,Z6V73lW2tsI,USA et Venezuela : comprendre la doctrine Monroe,2026-01-15,https://www.youtube.com/watch?v=Z6V73lW2tsI,President (Lactalis),President,remerciement,"Quel début d'année 2026 ! Donald Trump capture le président du Venezuela, l’actualité s’embrase, et cela a provoqué de nombreuses réactions ! De mon côté, je ne vais pas vous livrer mon analyse de comptoir sur ce que j'en pense, mais j’ai quelques cartouches qui vous permettront peut-être de mieux comprendre ce qui se joue au Venezuela et de façon plus générale en Amérique du sud. Parce que si Trump est tout fier d’avoir capturé un dictateur et de libérer tout un peuple, on peut se poser une question légitime : pourquoi y a-t-il autant de dictatures en Amérique du Sud ? Et vous allez voir que les USA ne sont pas vraiment étrangers dans la réponse à cette question. Aller, aujourd’hui, on va parler d’un truc qui vous a peut-être déjà chatouillé l’oreille : la doctrine Monroe ! ⏎  ⏎ ➤ Découvrez l'épisode sur Simon Bolivar : https://youtu.be/ewVfzO5CHS0 ⏎  ⏎ ➤ Merci à Clément Thibaud, direct",President (Lactalis),marque + indice commercial
