commanditaire,type_de_commanditaire,secteur,groupe_parent,vitrine,alias_observe,contenu_url,date_publication,nombre_de_vues,statut_collaboration,nom_influenceur,plateforme,alias_influenceur,nombre_abonnes,type_de_createur,nature_de_la_ligne,canal_de_detection,degre_de_certitude,verifie_par_humain,titre_du_contenu
CNIEL,interprofession,,,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=hSx0FwkMLsM,2021-04-11,,ancien,LORIS GIULIANO,YouTube,,,,collaboration avec un tiers,description du createur,lien commercial soupconne,oui,LORIS - LOVE AND SEX - NEW YORK
CNIEL,interprofession,,,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=mZL4VzHapTY,2021-03-18,,ancien,LORIS GIULIANO,YouTube,,,,collaboration avec un tiers,description du createur,lien commercial soupconne,oui,LORIS - BIKERS / COWBOYS - TEXAS
CNIEL,interprofession,,,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=YykAzF8MqA4,2020-03-04,,ancien,LORIS GIULIANO,YouTube,,,,collaboration avec un tiers,description du createur,lien commercial soupconne,oui,LORIS - LE CARNAVAL - RIO DE JANEIRO
CNIEL,interprofession,,,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=cmq-9E5CdQg,2020-02-16,,ancien,LORIS GIULIANO,YouTube,,,,collaboration avec un tiers,description du createur,lien commercial soupconne,oui,LORIS - LE DRIFT - LOS ANGELES
CNIEL,interprofession,,,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=lg0IsC_8EnU,2020-02-09,,ancien,LORIS GIULIANO,YouTube,,,,collaboration avec un tiers,description du createur,lien commercial soupconne,oui,LORIS - GUADELOUPE
CNIEL,interprofession,,,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=JwmmUvS78AM,2020-01-28,,ancien,LORIS GIULIANO,YouTube,,,,collaboration avec un tiers,description du createur,lien commercial soupconne,oui,LORIS - MONTRÉAL - CANADA
CNIEL,interprofession,,,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=M5iLgoVSykM,2020-01-15,,ancien,LORIS GIULIANO,YouTube,,,,collaboration avec un tiers,description du createur,lien commercial soupconne,oui,LORIS - DOUBLE JOUR DE L'AN - AUCKLAND/RAROTONGA
CNIEL,interprofession,,,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=s1XA1BHUX_s,2019-11-22,,ancien,LORIS GIULIANO,YouTube,,,,collaboration avec un tiers,description du createur,lien commercial soupconne,oui,LORIS - LES OFF - TOUR DE FRANCE
CNIEL,interprofession,,,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=SCm_UNf8xAs,2019-11-14,,ancien,LORIS GIULIANO,YouTube,,,,collaboration avec un tiers,description du createur,lien commercial soupconne,oui,LORIS - MERCI - NANTES ANGERS PARIS
CNIEL,interprofession,,,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=ViL5tLYF_Xo,2019-11-04,,ancien,LORIS GIULIANO,YouTube,,,,collaboration avec un tiers,description du createur,lien commercial soupconne,oui,LORIS - LA FERME - MAËL CARHAIX
