# releve : 2026-08-24
# plateforme : instagram
# compte vitrine : @la_viande_fr
# entite : INTERBEV
# nature : liste des comptes SUIVIS par ce compte (following)
# origine : copier-coller manuel de Vincent, via A_COMPLETER.xlsx
# comptes : 209

perepasparfaitetalors	Nicolas -Créateur de contenu
90pour100healthy	Marie-Ange 🌸
mxeparis	Maxence Paris
celinedesousa_chef	Celine De Sousa
alt.1886	ALT.1886 | VIANDES DU MASSIF
adry_sdt	Adrien Sadat
bistrotek	Bistrotek
aufilduperigord	Au Fil du Perigord 🌳 ღ
legrosmiam	Le Gros Miam I Pour le goût 😋
cuisinertoutsimplement	✨Nathalie B.✨
boucheriecoudray	
produitstripiers	Les produits tripiers
les_vins_du_capitaine	Laurent le conteur du vin 🍷🔞🍷
okadran	Okadran. fr
cilounette81	Ccil
juanarbelaezchef	Juan Arbelaez
welowcook	Welowcook
boucherie_fagoo	Boucherie FAGOO
julienduboue	Julien Duboué
vincentdufrasne	vincent dufrasne
bentimes10	BenTimes10
plancha_barbecue	cuisine au jardin
jonathanlacanal	Jonathan Lacanal
olivier.moulin	Papa en Cuisine
pieceduboucher	Pièce Du Boucher - Paris
tabledeseleveurs	e-Boucherie normande
pierre_sang	Pierre Sang BOYER
gourmetartistry	World’s Finest Food Plating
iness.255	
cyrillignac	Cyril Lignac
evarobineau	
grandseigneurofficial	Le magazine du plaisir a table
luanabelmondo.officiel	Luana Belmondo
maisonlesellier.viard	Maison Lesellier Viard
beatrizgonzalezchef	Beatriz Gonzalez
david_toutain	David Toutain
specialmeats	Specialmeats
elevageducharrault	Elevage du Charrault 🐂
passioncuisinart	Bertrand
aneva_all	Aneva
boucherie_claude_et_henri	Boucherie Claude & Henri
steak4yourdoors	
rafagomeschef	Rafa Gomes
o_delice100	ô delice
fabien_patanchon	Fabien Patanchon
aculinarychef	❤ Chef ❤
cedricchaumard	Cedric Chaumard
boucheriemoderne	Boucherie Moderne
allyouneediswine.fr	Allyouneediswine
